アドレス,言語,単語,再翻訳,翻訳,一致,類似度_difflib,分類,類似度_ai,類似度_claude
B327,en,はね出し,オーバーハング/カンチレバー,Overhang / Cantilever,False,0.0%,不一致,0%,100
B328,en,はらみ,膨らんだ,Bulging,False,28.6%,不一致,16%,100
B329,en,前面,正面 / 対面,Front / Facing,False,22.2%,不一致,16%,90
B330,en,養生,保護/硬化,Protection / Curing,False,0.0%,不一致,0%,100
B331,en,レベル,レベル,Level,True,100.0%,完全一致,100%,100
B332,en,割付,レイアウト/間隔,Layout / Spacing,False,0.0%,不一致,0%,100
B333,en,埋め込み金物,埋め込み金具,Embedded Metal Fittings,False,83.3%,不一致,94%,100
B334,en,解体する（バラス）,解体/撤去,Dismantle / Take down,False,28.6%,不一致,16%,100
B335,en,かぶり寸法,コンクリートかぶり厚さ,Concrete Cover Thickness,False,37.5%,不一致,23%,100
B336,en,異形棒鋼,異形鉄筋,Deformed Bar,False,50.0%,不一致,33%,100
B337,en,結束線,結束ワイヤー,Tie Wire,False,44.4%,不一致,28%,100
B338,en,結束工具,結束具 / ツイスター,Tying Tool / Twister,False,40.0%,不一致,27%,100
B339,en,鉄筋切断機,鉄筋カッター,Rebar Cutter,False,36.4%,不一致,22%,100
B340,en,鉄筋曲げ加工機,鉄筋曲げ機,Rebar Bender,False,83.3%,不一致,94%,100
B341,en,フック,フック,Hook,True,100.0%,完全一致,100%,100
B342,en,保護帽（ヘルメット）,安全ヘルメット,Safety Helmet,False,58.8%,不一致,41%,100
B343,en,アンカー,アンカー,Anchor,True,100.0%,完全一致,100%,100
B344,en,加工場,製造ヤード,Fabrication Yard,False,0.0%,不一致,0%,100
B345,en,スペーサ―,スペーサー,Spacer,False,80.0%,不一致,96%,100
B346,en,ドーナツ,ドーナツスペーサー,Donut Spacer,False,61.5%,不一致,40%,100
B347,en,加工配筋図,鉄筋製作図,Rebar Fabrication Drawing,False,40.0%,不一致,25%,100
B348,en,配筋詳細図,鉄筋詳細図,Rebar Detail Drawing,False,80.0%,不一致,80%,100
B349,en,開口補強筋,オープニング強化,Opening Reinforcement,False,15.4%,不一致,8%,100
B350,en,幅止め筋,スペーサーバー（幅キーパー）,Spacer Bar (Width Keeper),False,11.1%,不一致,7%,100
B351,en,差筋,ダボバー,Dowel Bar,False,0.0%,不一致,0%,100
B352,en,柱主筋,メインカラムバー,Main Column Bar,False,0.0%,不一致,0%,100
B353,en,柱配筋,柱の補強,Column Reinforcement,False,28.6%,不一致,16%,100
B354,en,スラブ筋,スラブ補強,Slab Reinforcement,False,66.7%,不一致,50%,100
B355,en,ベース筋,基礎補強,Footing Reinforcement,False,0.0%,不一致,0%,100
B356,en,帯筋（フープ）,フープ/タイ,Hoop / Tie,False,46.2%,不一致,30%,100
B357,en,下端筋,下部バー,Bottom Bar,False,28.6%,不一致,16%,100
B358,en,上端筋,トップバー,Top Bar,False,0.0%,不一致,0%,100
B359,en,主筋,メインバー,Main Bar,False,0.0%,不一致,0%,100
B360,en,あばら筋,あぶみ,Stirrup,False,28.6%,不一致,16%,100
B361,en,はかま筋,ハウンチバー,Haunch Bar,False,0.0%,不一致,0%,100
B362,en,縦筋,縦棒,Longitudinal Bar,False,50.0%,不一致,33%,100
B363,en,下筋,下のバー,Lower Bar,False,33.3%,不一致,20%,100
B364,en,横筋,横バー,Transverse Bar,False,40.0%,不一致,25%,100
B365,en,腹筋,配信バー（Webバー）,Distribution Bar (Web bar),False,0.0%,不一致,0%,100
B366,en,配力筋,流通強化,Distribution Reinforcement,False,0.0%,不一致,0%,100
B367,en,上筋,上部バー,Upper Bar,False,33.3%,不一致,20%,100
B368,en,スパイラル筋,スパイラル補強,Spiral Reinforcement,False,76.9%,不一致,78%,100
B369,en,鉄筋径,鉄筋直径,Rebar Diameter,False,85.7%,不一致,95%,100
B370,en,かぶり厚さ,カバー厚,Cover Thickness,False,22.2%,不一致,12%,100
B371,en,ℝ度,R（半径）サイズ,R (Radius) size,False,0.0%,不一致,0%,100
B372,en,シングル,シングル,Single,True,100.0%,完全一致,100%,100
B373,en,ダブル,ダブル,Double,True,100.0%,完全一致,100%,100
B374,en,千鳥結束,ずらし結び,Staggered Tying,False,22.2%,不一致,12%,100
B375,en,切断寸法,カット長さ,Cut Length,False,0.0%,不一致,0%,100
B376,en,加工寸法,製作長さ,Fabrication Length,False,0.0%,不一致,0%,100
B377,en,重ね継手,ラップスプライス,Lap Splice,False,0.0%,不一致,0%,100
B378,en,圧接継手,圧力溶接スプライス,Pressure Welded Splice,False,30.8%,不一致,20%,100
B379,en,開口部,オープニング,Opening,False,0.0%,不一致,0%,100
B380,en,溶接金網,溶接金網,Welded Wire Mesh,True,100.0%,完全一致,100%,100
B381,en,搬出,持ち出す/発送する,Carry out / Ship out,False,18.2%,不一致,11%,100
B382,en,搬入,持ち込み・配達,Bring in / Delivery,False,0.0%,不一致,0%,100
B383,en,基礎,財団,Foundation,False,0.0%,不一致,0%,95
B384,en,機械式継手,メカニカルスプライス,Mechanical Splice,False,0.0%,不一致,0%,100
B385,en,配筋検査,鉄筋検査,Rebar Inspection,False,75.0%,不一致,78%,100
B386,en,トラクタ,トラクター,Tractor,False,88.9%,不一致,72%,100
B387,en,ブルドーザ,ブルドーザー,Bulldozer,False,90.9%,不一致,75%,100
B388,en,トラクタショベル,トラックローダー,Track Loader,False,37.5%,不一致,25%,100
B389,en,ホイルローダ,ホイールローダー,Wheel Loader,False,85.7%,不一致,100%,100
B390,en,ダンプトラック,ダンプトラック,Dump Truck,True,100.0%,完全一致,100%,100
B391,en,油圧ショベル,油圧ショベル,Hydraulic Excavator,True,100.0%,完全一致,100%,100
B392,en,バックホウ,バックホー,Backhoe,False,80.0%,不一致,80%,100
B393,en,ローディングショベル,ローディングショベル,Loading Shovel,True,100.0%,完全一致,100%,100
B394,en,ローラ,ローラー,Roller,False,85.7%,不一致,67%,100
B395,en,バケット,バケツ,Bucket,False,57.1%,不一致,40%,100
B396,en,ブーム,ブーム,Boom,True,100.0%,完全一致,100%,100
B397,en,アーム,アーム,Arm,True,100.0%,完全一致,100%,100
B398,en,ブレード（排土板）,ブレード（ドーザーブレード）,Blade (Dozer blade),False,52.2%,不一致,78%,100
B399,en,タイヤ,タイヤ,Tire,True,100.0%,完全一致,100%,100
B400,en,クローラ,トラック/クローラー,Track / Crawler,False,57.1%,不一致,36%,100
B401,en,キー（鍵）,鍵,Key,False,33.3%,不一致,18%,100
B402,en,"作業装置
（アタッチメント）",添付ファイル,Attachment,False,0.0%,不一致,0%,80
B403,en,エンジン,エンジン,Engine,True,100.0%,完全一致,100%,100
B404,en,ディーゼルエンジン,ディーゼルエンジン,Diesel Engine,True,100.0%,完全一致,100%,100
B405,en,エンジンオイル,エンジンオイル,Engine Oil,True,100.0%,完全一致,100%,100
B406,en,"オルタネータ
（充電発電機）",オルタネーター,Alternator,False,57.1%,不一致,41%,100
B407,en,バッテリ,バッテリー,Battery,False,88.9%,不一致,72%,100
B408,en,燃料,燃料,Fuel,True,100.0%,完全一致,100%,100
B409,en,軽油,ディーゼル燃料,Diesel Fuel,False,0.0%,不一致,0%,100
B410,en,ブレーキ,ブレーキ,Brake,True,100.0%,完全一致,100%,100
B411,en,油圧シリンダ,油圧シリンダー,Hydraulic Cylinder,False,92.3%,不一致,77%,100
B412,en,油圧モータ,油圧モーター,Hydraulic Motor,False,90.9%,不一致,75%,100
B413,en,油圧ポンプ,油圧ポンプ,Hydraulic Pump,True,100.0%,完全一致,100%,100
B414,en,水漏れ,水漏れ,Water Leak,True,100.0%,完全一致,100%,100
B415,en,油漏れ,オイル漏れ,Oil Leak,False,50.0%,不一致,33%,100
B416,en,冷却水,冷却剤,Coolant,False,66.7%,不一致,50%,100
B417,en,ブレーキ液,ブレーキフルード,Brake Fluid,False,61.5%,不一致,50%,100
B418,en,燃料タンク,燃料タンク,Fuel Tank,True,100.0%,完全一致,100%,100
B419,en,ファンベルト,ファンベルト,Fan Belt,True,100.0%,完全一致,100%,100
B420,en,空気圧,空気圧,Air Pressure,True,100.0%,完全一致,100%,100
B421,en,クラッチ,クラッチ,Clutch,True,100.0%,完全一致,100%,100
B422,en,発進,スタート（出発）,Start (move off),False,20.0%,不一致,11%,100
B423,en,ブレーキ,ブレーキ,Brake,True,100.0%,完全一致,100%,100
B424,en,アイドリング,アイドリング,Idling,True,100.0%,完全一致,100%,100
B425,en,走行,旅行 / 運転,Travel / Driving,False,22.2%,不一致,14%,90
B426,en,旋回,スイング/回転,Swing / Turning,False,22.2%,不一致,12%,100
B427,en,安全ロック,安全ロック,Safety Lock,True,100.0%,完全一致,100%,100
B428,en,安全支柱,安全支柱/サポート,Safety Prop / Support,False,61.5%,不一致,40%,100
B429,en,補給（する）,補充/補充,Refill / Replenish,False,18.2%,不一致,12%,100
B430,en,駐車（する）,公園 / 駐車場,Park / Parking,False,28.6%,不一致,18%,40
B431,en,歩行者,歩行者,Pedestrian,True,100.0%,完全一致,100%,100
B432,en,車両,車両,Vehicle,True,100.0%,完全一致,100%,100
B433,en,死ℝ,死角,Blind Spot,False,50.0%,不一致,33%,100
B434,en,斜面,スロープ,Slope,False,0.0%,不一致,0%,100
B435,en,転圧（する）,圧縮/コンパクト,Compaction / Compact,False,14.3%,不一致,7%,100
B436,en,接触（する）,接触/タッチ,Contact / Touch,False,33.3%,不一致,20%,100
B437,en,作動（する）,操作/運用,Operate / Operation,False,18.2%,不一致,10%,100
B438,en,整備（する）,サービス/メンテナンス,Servicing / Maintenance,False,0.0%,不一致,0%,100
B439,en,点検（する）,検査/検査,Inspect / Inspection,False,18.2%,不一致,12%,100
B440,en,動かす,移動/操作,Move / Operate,False,25.0%,不一致,14%,100
B441,en,運転（する）,操作/運転,Operate / Drive,False,36.4%,不一致,22%,100
B442,en,測る,測定,Measure,False,50.0%,不一致,33%,100
B443,en,操作（する）,操作/運用,Operate / Operation,False,36.4%,不一致,22%,100
B444,en,停止（する）,停止/一時停止,Stop / Halt,False,30.8%,不一致,22%,100
B445,en,切る,カット/オフ,Cut / Turn off,False,0.0%,不一致,0%,100
B446,en,回す,回転,Turn / Rotate,False,50.0%,不一致,33%,100
B447,en,押す,押す/押す,Push / Press,False,57.1%,不一致,36%,100
B448,en,集める,集める/収集する,Gather / Collect,False,54.5%,不一致,33%,100
B449,en,触る,触る,Touch,True,100.0%,完全一致,100%,100
B450,en,縛る,結ぶ/縛る,Tie / Bind,False,57.1%,不一致,36%,100
B451,en,揃える,整列/配置,Align / Arrange,False,0.0%,不一致,0%,100
B452,en,結ぶ,ネクタイ/結び目,Tie / Knot,False,20.0%,不一致,11%,100
B453,en,しゃがむ,しゃがむ,Squat,True,100.0%,完全一致,100%,100
B454,en,調整（する）,調整/調整,Adjust / Adjustment,False,36.4%,不一致,28%,100
B455,en,閉じる,閉じる,Close / Shut,True,100.0%,完全一致,100%,100
B456,en,取り出す,テイクアウト,Take out,False,0.0%,不一致,0%,100
B457,en,戻す,返品する,Return / Put back,False,33.3%,不一致,20%,100
B458,en,仕上げる,仕上げる,Finish,True,100.0%,完全一致,100%,100
B459,en,折れる,ブレーク/スナップ,Break / Snap,False,0.0%,不一致,0%,100
B460,en,欠ける,チップ/チップされる,Chip / Be chipped,False,15.4%,不一致,11%,100
B461,en,近づく,アプローチ,Approach,False,0.0%,不一致,0%,100
B462,en,電源を入れる,電源を入れる,Turn on the power,True,100.0%,完全一致,100%,100
B463,en,電源を落とす,電源を切る,Shut down the power,False,54.5%,不一致,37%,100
B464,en,スイッチを切る,スイッチをオフにする,Turn off the switch,False,70.6%,不一致,76%,100
B465,en,固定（する）,修正/保護,Fix / Secure,False,0.0%,不一致,0%,95
B466,en,ゆるめる,緩める,Loosen,False,57.1%,不一致,50%,100
B467,en,伸ばす,伸ばす/伸ばす,Extend / Stretch,False,60.0%,不一致,38%,100
B468,en,外す,取り除く,Remove,False,0.0%,不一致,0%,100
B469,en,曲げる,曲げる,Bend,True,100.0%,完全一致,100%,100
B470,en,出す,出す/取り出す,Put out / Take out,False,44.4%,不一致,25%,100
B471,en,乾かす,ドライ,Dry,False,0.0%,不一致,0%,100
B472,en,数える,カウント,Count,False,0.0%,不一致,0%,100
B473,en,運ぶ,持ち運び/輸送,Carry / Transport,False,22.2%,不一致,12%,100
B474,en,積む,ロード/スタック,Load / Stack,False,0.0%,不一致,0%,100
B475,en,下ろす,荷降ろし/降ろし,Unload / Lower,False,18.2%,不一致,14%,100
B476,en,離れる,立ち去る,Move away / Leave,False,28.6%,不一致,16%,100
B477,en,位置,位置,Position,True,100.0%,完全一致,100%,100
B478,en,寸法,寸法,Dimension,True,100.0%,完全一致,100%,100
B479,en,測定（する）,測定/測定,Measurement / Measure,False,36.4%,不一致,28%,100
B480,en,計測（する）,測定/測定,Measurement / Measure,False,18.2%,不一致,12%,100
B481,en,計測器,測定器,Measuring Instrument,False,66.7%,不一致,50%,100
B482,en,温度,温度,Temperature,True,100.0%,完全一致,100%,100
B483,en,高さ,身長,Height,False,0.0%,不一致,0%,100
B484,en,長さ,長さ,Length,True,100.0%,完全一致,100%,100
B485,en,重さ,重さ,Weight,True,100.0%,完全一致,100%,100
B486,en,厚さ,厚さ,Thickness,True,100.0%,完全一致,100%,100
B487,en,硬さ,硬度,Hardness,False,50.0%,不一致,33%,100
B488,en,深さ,深さ,Depth,True,100.0%,完全一致,100%,100
B489,en,表面,表面,Surface,True,100.0%,完全一致,100%,100
B490,en,すきま,隙間/クリアランス,Gap / Clearance,False,0.0%,不一致,0%,100
B491,en,中心,中心,Center,True,100.0%,完全一致,100%,100
B492,en,値,価値,Value,False,66.7%,不一致,45%,80
B493,en,安定（する）,安定性/安定化,Stability / Stabilize,False,30.8%,不一致,22%,100
B494,en,大きさ,サイズ,Size,False,0.0%,不一致,0%,100
B495,en,数,数量,Number / Quantity,False,66.7%,不一致,45%,100
B496,en,誤差,エラー/許容範囲,Error / Tolerance,False,0.0%,不一致,0%,100
B497,en,中,内側/真ん中,Inside / Middle,False,28.6%,不一致,15%,100
B498,en,反対,反対,Opposite,True,100.0%,完全一致,100%,100
B499,en,周り,周辺,Periphery / Around,False,50.0%,不一致,33%,100
B500,en,尺,尺（伝統的な単位）/長さ,Shaku (traditional unit) / Length,False,15.4%,不一致,7%,100
B501,en,青,青,Blue,True,100.0%,完全一致,100%,100
B502,en,赤,赤,Red,True,100.0%,完全一致,100%,100
B503,en,白,白,White,True,100.0%,完全一致,100%,100
B504,en,黄色,黄色,Yellow,True,100.0%,完全一致,100%,100
B505,en,片づける,片付ける,Tidy up,False,75.0%,不一致,78%,100
B506,en,捨てる,処分する,Dispose / Throw away,False,28.6%,不一致,16%,100
B507,en,掃く,スイープ,Sweep,False,0.0%,不一致,0%,100
B508,en,持ち上げる,リフト,Lift,False,0.0%,不一致,0%,100
B509,en,束ねる,バンドル,Bundle,False,0.0%,不一致,0%,100
B510,en,足をくじく,足首を捻挫する,Sprain one’s ankle,False,33.3%,不一致,22%,100
B511,en,一輪車,手押し車,Wheelbarrow,False,28.6%,不一致,16%,100
B512,en,支柱,投稿 / サポート,Post / Support,False,0.0%,不一致,0%,90
B513,en,ショベル,シャベル,Shovel,False,75.0%,不一致,78%,100
B514,en,かけや,木槌（かけや）,Wooden Mallet (Kakeya),False,60.0%,不一致,38%,100
C2,fil-PH,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
D2,pt,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
E2,es,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
F2,pt-BR,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
G2,zh,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
H2,ko,翻訳サイネージ,Multilingual translation system,Multilingual translation system,False,0.0%,不一致,0%,80
I2,fr,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
J2,hi,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
K2,th,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
L2,vi,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
M2,my,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
N2,ne,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
O2,bn,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
P2,id,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
P3,id,技能実習,技能訓練,Pemagangan keterampilan,False,50.0%,不一致,33%,100
P4,id,技能実習生,スキルインターンシップ,Pemagang keterampilan,False,0.0%,不一致,0%,100
P5,id,工場,工場,Pabrik,True,100.0%,完全一致,100%,100
P6,id,製造,製造業,Manufaktur,False,80.0%,不一致,90%,90
P7,id,機械,機械,Mesin,True,100.0%,完全一致,100%,100
P8,id,安全,安全性,Keselamatan,False,80.0%,不一致,95%,95
P9,id,危険（な）,危険な,Berbahaya,False,75.0%,不一致,78%,100
P10,id,危ない,危険な,Berbahaya,False,66.7%,不一致,100%,100
P11,id,清掃,クリーニング,Pembersihan,False,0.0%,不一致,100%,100
P12,id,非常口,非常口,Pintu darurat,True,100.0%,完全一致,100%,100
P13,id,注意,注意,Perhatian,True,100.0%,完全一致,100%,100
P14,id,火事,火,Kebakaran,False,66.7%,不一致,45%,70
P15,id,事故,事故,Kecelakaan,True,100.0%,完全一致,100%,100
P16,id,服装,服,Pakaian,False,66.7%,不一致,45%,95
P17,id,安全装置,安全装置,Perangkat keselamatan,True,100.0%,完全一致,100%,100
P18,id,安全カバー,安全カバー,Penutup pengaman,True,100.0%,完全一致,100%,100
P19,id,けが,けが,Cedera,True,100.0%,完全一致,100%,100
P20,id,けがをする,負傷,Terluka,False,0.0%,不一致,0%,100
P21,id,電源,電源,Sumber daya listrik,True,100.0%,完全一致,100%,100
P22,id,電源を切る,電源を切る,Matikan daya,True,100.0%,完全一致,100%,100
P23,id,非常停止ボタン,緊急停止ボタン,Tombol berhenti darurat,False,71.4%,不一致,76%,100
P24,id,非常停止ボタンを押す,緊急停止ボタンを押してください,Tekan tombol berhenti darurat,False,56.0%,不一致,38%,95
P25,id,ルール,ルール,Aturan,True,100.0%,完全一致,100%,100
P26,id,ルールを守る,ルールを守る,Patuhi aturan,True,100.0%,完全一致,100%,100
P27,id,止める,停止,Menghentikan,False,40.0%,不一致,25%,100
P28,id,機械を止める,エンジンを停止する,Menghentikan mesin,False,40.0%,不一致,27%,95
P29,id,やって,する,Lakukan,False,0.0%,不一致,0%,95
P30,id,止めて,やめて,Hentikan,False,66.7%,不一致,50%,90
P31,id,取って,取る,Ambil,False,40.0%,不一致,25%,100
P32,id,だめ（な）,すべきではない,Tidak boleh,False,16.7%,不一致,9%,85
P33,id,監理団体,監督組織,Organisasi pengawas,False,25.0%,不一致,14%,80
P34,id,技術移転,技術移転,Alih teknologi,True,100.0%,完全一致,100%,100
P35,id,技能実習期間,スキルインターンシップ期間,Masa magang keterampilan,False,21.1%,不一致,12%,100
P36,id,職種,仕事の種類,Jenis pekerjaan,False,28.6%,不一致,16%,100
P37,id,在留資格,居住許可のステータス,Status izin tinggal,False,0.0%,不一致,0%,95
P38,id,パスポート,パスポート,Paspor,True,100.0%,完全一致,100%,100
P39,id,在留カード,居住許可カード,Kartu izin tinggal,False,50.0%,不一致,33%,100
P40,id,入管,移民,Imigrasi,False,0.0%,不一致,0%,90
P41,id,在留期間,滞在期間,Masa tinggal,False,75.0%,不一致,78%,100
P42,id,雇用契約,雇用契約,Kontrak kerja,True,100.0%,完全一致,100%,100
P43,id,給与明細,給与明細書,Slip gaji,False,88.9%,不一致,72%,100
P44,id,給料,賃金,Gaji,False,0.0%,不一致,0%,100
P45,id,残業手当,残業手当,Tunjangan lembur,True,100.0%,完全一致,100%,100
P46,id,労働時間,勤務時間,Jam kerja,False,50.0%,不一致,33%,100
P47,id,控除（する）,切断,Pemotongan,False,0.0%,不一致,0%,20
P48,id,ボーナス,ボーナス,Bonus,True,100.0%,完全一致,100%,100
P49,id,有休,有給休暇,Cuti berbayar,False,66.7%,不一致,50%,100
P50,id,代休,代替休暇,Cuti pengganti,False,66.7%,不一致,50%,100
P51,id,労働基準法,労働基準法,Undang-Undang Standar Ketenagakerjaan,True,100.0%,完全一致,100%,100
P52,id,労働条件,労働条件,Kondisi kerja,True,100.0%,完全一致,100%,95
P53,id,税金,税,Pajak,False,66.7%,不一致,45%,100
P54,id,所得税,所得税,Pajak penghasilan,True,100.0%,完全一致,100%,100
P55,id,住民税,人口税,Pajak penduduk,False,33.3%,不一致,20%,50
P56,id,厚生年金,厚生年金（厚生年金）,Pensiun karyawan (Kosei Nenkin),False,57.1%,不一致,36%,100
P57,id,雇用保険,雇用保険,Asuransi ketenagakerjaan,True,100.0%,完全一致,100%,100
P58,id,健康保険,健康保険,Asuransi kesehatan,True,100.0%,完全一致,100%,100
P59,id,社会保険,社会保険,Asuransi sosial,True,100.0%,完全一致,100%,100
P60,id,労災,労働災害,Kecelakaan kerja,False,66.7%,不一致,50%,100
P61,id,労災保険,労働災害保険,Asuransi kecelakaan kerja,False,80.0%,不一致,80%,100
P62,id,遅刻（する）,遅い,Terlambat,False,25.0%,不一致,14%,85
P63,id,早退（する）,早く帰ってきて,Pulang lebih awal,False,15.4%,不一致,9%,85
P64,id,休憩（する）,休む,Istirahat,False,25.0%,不一致,14%,100
P65,id,残業（する）,時間とともに,Lembur,False,0.0%,不一致,0%,40
P66,id,定時,通常の勤務時間,Jam kerja reguler,False,22.2%,不一致,12%,100
P67,id,規則,規制,Peraturan,False,50.0%,不一致,33%,100
P68,id,休日,休日,Hari libur,True,100.0%,完全一致,100%,100
P69,id,始業時間,仕事開始時間,Jam mulai kerja,False,60.0%,不一致,42%,100
P70,id,終業時間,勤務時間終了,Jam selesai kerja,False,40.0%,不一致,42%,100
P71,id,指導員,インストラクター,Instruktur,False,0.0%,不一致,0%,100
P72,id,生活指導員,ライフコーチ,Pembina kehidupan,False,0.0%,不一致,0%,100
P73,id,担当者,責任者,Penanggung jawab,False,33.3%,不一致,20%,100
P74,id,スイッチ入れるな,スイッチを入れないでください,Jangan hidupkan sakelar,False,63.6%,不一致,50%,100
P75,id,スイッチ切るな,スイッチを切らないでください,Jangan matikan sakelar,False,57.1%,不一致,42%,100
P76,id,使用禁止,使用禁止,Dilarang digunakan,True,100.0%,完全一致,100%,100
P77,id,5S,5S,5S,True,100.0%,完全一致,100%,100
P78,id,整理,整理（せいり）,Sortir (Seiri),False,44.4%,不一致,25%,100
P79,id,整頓,アレンジメント（整頓）,Penataan (Seiton),False,30.8%,不一致,16%,100
P80,id,清掃,清掃（せいそう）,Pembersihan (Seiso),False,40.0%,不一致,22%,100
P81,id,清潔,清潔（せいけつ）,Kebersihan (Seiketsu),False,40.0%,不一致,22%,100
P82,id,しつけ,躾（しつけ）,Disiplin (Shitsuke),False,66.7%,不一致,45%,100
P83,id,掃除（する）,クリーン,Membersihkan,False,0.0%,不一致,0%,100
P84,id,片づける,片付ける,Merapikan,False,75.0%,不一致,78%,100
P85,id,捨てる,捨てる,Membuang,True,100.0%,完全一致,100%,90
P86,id,汚い,汚い,Kotor,True,100.0%,完全一致,100%,100
P87,id,汚れる,汚れる,Menjadi kotor,True,100.0%,完全一致,100%,100
P88,id,分別（する）,分別（ゴミ）,Memilah (sampah),False,66.7%,不一致,50%,100
P89,id,燃えないごみ,ゴミは燃えない,Sampah tidak terbakar,False,61.5%,不一致,44%,95
P90,id,燃えるごみ,可燃性廃棄物,Sampah mudah terbakar,False,18.2%,不一致,10%,100
P91,id,挟まれる,立ち往生,Terjepit,False,0.0%,不一致,0%,100
P92,id,巻き込まれる,興味がある / 絡み合う,Tertarik masuk / Terbelit,False,11.1%,不一致,6%,70
P93,id,やけど（する）,バーンズ/バーンズ,Luka bakar / Terbakar,False,0.0%,不一致,0%,100
P94,id,落ちる,秋,Jatuh,False,0.0%,不一致,0%,100
P95,id,すべる,滑った,Tergelincir,False,0.0%,不一致,0%,100
P96,id,転ぶ,落下,Terjatuh,False,0.0%,不一致,0%,90
P97,id,濡れる,濡れた,Basah,False,66.7%,不一致,50%,100
P98,id,衛生,衛生,Higiene,True,100.0%,完全一致,100%,100
P99,id,避難（する）,避難,Evakuasi,False,50.0%,不一致,30%,100
P100,id,救   車,救急車,Ambulans,False,50.0%,不一致,50%,100
P101,id,災害,災害,Bencana,True,100.0%,完全一致,100%,100
P102,id,地震,地震,Gempa bumi,True,100.0%,完全一致,100%,100
P103,id,もぐる,下に隠れる,Berlindung di bawah,False,25.0%,不一致,14%,100
P104,id,火気厳禁,火気厳禁,Dilarang menyalakan api,True,100.0%,完全一致,100%,100
P105,id,開放厳禁,開封禁止,Dilarang dibuka,False,50.0%,不一致,33%,100
P106,id,標識,標識・マーク,Rambu / Tanda,False,50.0%,不一致,30%,100
P107,id,気をつける,気をつけて,Hati-hati,False,80.0%,不一致,80%,100
P108,id,持ち込む,持ち込む,Membawa masuk,True,100.0%,完全一致,100%,100
P109,id,防ぐ,防ぐ,Mencegah,True,100.0%,完全一致,100%,100
P110,id,火,火,Api,True,100.0%,完全一致,100%,100
P111,id,煙,煙,Asap,True,100.0%,完全一致,100%,100
P112,id,消火,消火,Pemadaman api,True,100.0%,完全一致,100%,100
P113,id,消火器,消火器（APAR）,Alat pemadam api (APAR),False,50.0%,不一致,30%,100
P114,id,非常ベル,緊急ベル,Bel darurat,False,50.0%,不一致,33%,100
P115,id,火災報知機,火災警報,Alarm kebakaran,False,66.7%,不一致,50%,95
P116,id,逃げる,自分を救う,Menyelamatkan diri,False,0.0%,不一致,0%,90
P117,id,現場,勤務地,Lokasi kerja,False,0.0%,不一致,0%,100
P118,id,作業,仕事,Pekerjaan,False,0.0%,不一致,0%,100
P119,id,ミーティング,ミーティング,Rapat,True,100.0%,完全一致,100%,100
P120,id,研修（する）,トレーニング,Pelatihan,False,0.0%,不一致,0%,100
P121,id,実習（する）,練習する,Praktik,False,60.0%,不一致,42%,100
P122,id,あいさつ,よろしく,Salam,False,0.0%,不一致,0%,100
P123,id,確認（する）,確認・確認,Konfirmasi / Memeriksa,False,36.4%,不一致,28%,100
P124,id,報告（する）,報告,Melaporkan,False,50.0%,不一致,30%,100
P125,id,連絡（する）,接触,Menghubungi,False,0.0%,不一致,0%,95
P126,id,相談（する）,相談する,Berkonsultasi,False,80.0%,不一致,80%,100
P127,id,渡す,届ける,Menyerahkan,False,0.0%,不一致,0%,100
P128,id,申請書,申込書,Formulir permohonan,False,66.7%,不一致,50%,95
P129,id,寝坊（する）,遅く起きる,Bangun kesiangan,False,18.2%,不一致,10%,100
P130,id,技能,スキル,Keterampilan,False,0.0%,不一致,0%,100
P131,id,技能検定試験,スキル認定試験,Ujian sertifikasi keterampilan,False,46.2%,不一致,30%,100
P132,id,受検（する）,試験を受ける,Mengikuti ujian,False,33.3%,不一致,20%,100
P133,id,資格,資格・証明書,Kualifikasi / Sertifikat,False,50.0%,不一致,30%,100
P134,id,手当,手当,Tunjangan,True,100.0%,完全一致,100%,100
P135,id,社員,従業員,Karyawan,False,40.0%,不一致,25%,100
P136,id,部長,部門マネージャー,Manajer departemen,False,20.0%,不一致,12%,100
P137,id,課長,課長,Kepala seksi (Section Manager),True,100.0%,完全一致,100%,100
P138,id,更衣室,更衣室,Ruang ganti,True,100.0%,完全一致,100%,100
P139,id,台車,カート,Troli,False,0.0%,不一致,0%,100
