日本語,PyMuPDF値,pdfplumber値,一致,Page,No
機械式継手,តុំណឡដយា ម៉ា សា ុី្,តុំណឡដាយមា៉ា សុី្,False,36,24
欠ける,ដែប,ដែប,True,43,5
止めて,ស៊ូរបញឈ្ ប់,ស៊ូរបញ្ឈប់,False,2,13
止める,បញឈ្ ប់,បញ្ឈប់,False,2,10
歩行者,អនកលថមើរល ើង,អនកលថមើរល ើង,True,41,21
死角,ដ ្ ងុ លមើលមិនល ើញ,ដ្ ងុ លមើលមិនល ើញ,False,41,23
残業手当,គា្ ក់ឈនល្ួ ដែមណ ៉ោ ង្,គ្ាក់ឈ្ន លួ ដែមណ ៉ោ ង្,False,3,13
残業（する）,(ធ្វើករា ) ករា ងរា ថែមធា៉ោ ង,(ធ្វើការ) ការងារថែមធា៉ោ ង,False,6,4
気をつける,ខ្ ញំនឹង្រងុ ្រយ័តន,ខ្ ញំនឹង្រងុ ្រយ័តន,True,10,4
気分が悪い,មិនបស្ ួលខលនួ,មិនប្សួលខល នួ,False,13,21
水平器,ផរ្ ៉ាមត្ ្សទង់,ផ្រ៉ាម្ត្សទង់,False,27,23
水漏れ,លលចធា យ្លទឹក,លលចធ្លា យទឹក,False,40,4
汚い,កខ្ វក្ ់្,ក្ខ្វក្់,False,8,10
汚れる,្បលកា ់្,្បលាក្់,False,8,11
油圧ショベル,គតេ្រ ឿងចតក្រ កយា ែីអុីតែ្រ ូ លិក,គត្រេឿងចត្រកកាយែីអុីត្រែូ លិក,False,37,6
油圧シリンダ,ស ៊ីឡាំងអ ៊ីដរ្ លូ ិក,ស ៊ីឡាំងអ ៊ីដ្រលូ ិក,False,40,1
油圧ポンプ,សនប់ប៉ូមអ ៊ីដរ្ លូ ិក,សនប់ប៉ូមអ ៊ីដ្រលូ ិក,False,40,3
油圧モータ,ម៉ូ ទ័រអ ៊ីដរ្ លូ ិក,ម៉ូ ទ័រអ ៊ីដ្រលូ ិក,False,40,2
油漏れ,លលចធា យ្លលដប្ ង,លលចធ្លា យលដ្បង,False,40,5
注意,ករា ករ្ ងុ ករ្ យ័តា,ការក្រងុ ក្រយ័តា,False,1,11
消火,ព្នលត់អគគិ្ ័យ,ព្នលត់អគ្គិ្័យ,False,10,9
消火器,ឧរករណ៍ព្នលត់អគគិ្ ័យ,ឧរករណ៍ព្នលត់អគ្គិ្័យ,False,10,10
深さ,ជមប្ ៅ្,ជម្ប្ៅ,False,44,12
清掃,សមា ត,សមា ត,True,1,9
清潔,សា ត្ថ,ស្ថា ត,False,7,5
渡す,ឆលង្ កតា ់,ឆ្លងកាត់,False,11,24
温度,សីតុណហភ្ ពា,សីតុណ្ហភាព,False,44,6
測る,វសា ់,វាស់,False,42,7
測定（する）,(ករា )វសា ់ វែង,(ការ)វាស់ វែង,False,44,3
準備（する）,(ករា )មរតៀ្,(ការ)មរតៀ្,False,16,20
溶接金網,សុំណញា ់ ដែកផា,សុំណាញ់ ដែកផា,False,35,20
滑車,ឧបករណ៏រ͋ក,ឧបករណ៏រ(cid:843)ក,False,20,11
濡れる,បសើម,បសើម,True,9,21
火,ប្លើង,ប្លើង,True,10,7
火事,អគាិ្ភ័យ,អគ្ាិភ័យ,False,1,12
火気厳禁,ហមា ដចា ់ខតា ប្រើប្លើង,ហាមដាច់ខាតប្រើប្លើង,False,10,1
火災報知機,កណតឹង្រកសា អគគិ្ ័យ,កណតឹង្រកាសអគ្គិ្័យ,False,10,12
災害,ប្គះ្នមហៃតោយ,ប្គ្នះមហៃតោយ,False,9,25
点検事項,កប្ ករា កត្ ួតពិនិតយ,ក្បការក្តួតពិនិតយ,False,23,14
点検（する）,(ករា )តរ្ ួរពិនិរយ,(ការ)ត្រួរពិនិរយ,False,42,4
煙,ផស្ ែង,ផ្សែង,False,10,8
熱中症,ករា ដួលសនលបម់ ោយសរ្ន កមតៅ,ការដួលសនលបម់ ោយស្នរ កមតៅ,False,13,17
燃えないごみ,ស្មមា មិៃប ះ,ស្មាមមិៃប ះ,False,8,13
燃えるごみ,ស្មមា ប ះ,ស្មាមប ះ,False,8,14
燃料,គតប្រ ងឥណឌន:,គត្របងឥណឌន:,False,39,23
燃料タンク,ធ ងឥនធនៈ,ធ ងឥនធនៈ,True,40,8
片づける,បរៀបចាំ,បរៀបចាំ,True,8,8
玉掛け,ចំណងTamagake,ចំណងTamagake,True,24,21
現場,កផន្ លងករា ងរ្ក,កផ្នលងការង្ករ,False,10,14
生活指導員,អនក្ បងា តា ប់ ធមង្រ ៀនេីករា រស់ធៅ,អ្នកបងាា តប់ ធម្រងៀនេីការ រស់ធៅ,False,6,11
申請書,ពកា ែបសនើសុំ,ពាកែបសនើសុំ,False,11,25
異形棒鋼,ឧបករណ៏ពងរ្ ឹរបបតុរ របូ ររា ពិបេេ,ឧបករណ៏ពង្រឹរបបតុរ របូ រារពិបេេ,False,31,1
白,ស,ស,True,45,27
監理団体,អងគភ្ ពា គរ្ ប់គរ្ ង្,អង្គភាពគ្រប់គ្រង្,False,3,1
目地棒,ំបូងោក់កចា ់ម ្ ងុ,ំបូងោក់កាច់ម្ ងុ,False,26,18
直交クランプ,ដងȠ ̮ំɖក់ʰតង់,ដង(cid:544)(cid:814)ំ(cid:598)ក់(cid:688)តង់,False,19,8
相談（する）,(ប្វើករា )ពិ្ភកា ា,(ប្វើការ)ព្ិភាកា,False,11,23
研修（する）,(ប្វើករា )កមសិកា,(ប្វើការ)កមមសិកា,False,10,17
硬さ,ភពា រងឹ,ភាពរងឹ,False,44,11
確認（する）,(ប្វើករា )រញា ក្ញ ់,(ប្វើការ)រញ្ញា ក់,False,11,20
社会保険,ធនា រា ៉ារា ់រងសងគម,ធានារា៉ារ់រងសងគម,False,5,13
社員,រុគគល្ កិ បក្ មុ ហ ុន,រុគ្គលកិ ប្កមុ ហ ុន,False,12,6
禁止,ហមា,ហាម,False,13,1
禁止事項,បប្ ករា ហមា ឃតា ់,ប្បការហាមឃាត់,False,13,3
禁煙,ហមា ជក់បារី,ហាមជក់បារី,False,17,2
移動式クレーン,ʤ៉សុីនសɼ ̱ចចល័ត,(cid:676)៉សុីនស(cid:636) (cid:817)ចចល័ត,False,20,13
税金,ពនធ,ពនធ,True,4,7
積む,លទកុ,លទកុ,True,43,19
積載荷重,េងន់ចំណុ ះដក្ឋ ់,េងន់ចំណុ ះដ្ឋក់,False,23,15
空気圧,សមា ធសយល់,សមា ធសយល់,True,40,10
立入禁止,ហមា ចូល,ហាមចូល,False,17,1
筋かい止めピン,Ȝɻ ស់ʟȼ ប់ឧបករណ៏ ɖក់ចេʇʵ ះសសរ,(cid:540)(cid:635)ស់(cid:671)(cid:572) ប់ឧបករណ៏ (cid:598)ក់ចេ(cid:647)(cid:693) ះសសរ,False,20,16
終業時間,ធា៉ោ ងបញចប្ ់ករា ងរា,ធា៉ោ ងបញ្ចប់ការងារ,False,6,9
組立,តមេលើង,តមេលើង,True,23,18
絆創膏,បនទោបះ ិទមលើសា ម្នរបួស,បនទោះបិទមលើស្នា មរបួស,False,13,14
結ぶ,ចង្,ចង្,True,42,17
結束工具,ឧបករណ៏រតឹ ចរ,ឧបករណ៏រតឹ ចរ,True,31,3
結束線,ដសែរតឹ ចំណរ,ដសែរតឹ ចំណរ,True,31,2
給与明細,បងា នា ន់ ែណបើកគា្ ក់ ណបៀវតស,បងាា នន់ ែណបើកគ្ាក់ ណបៀវតស,False,3,11
給料,គា្ ក់ណបៀវតស,គ្ាក់ណបៀវតស,False,3,12
縛る,ចងជ្ បា ់,ចង្ជាប់,False,42,15
縦筋,សរសសដែកបញឈ្ រ,សរសសដែកបញ្ឈរ,False,34,2
耳栓,ឆនុក្ រតមចៀក,ឆ្ន ុករតមចៀក,False,15,13
職種,គប្ ណេទ្យមុខរបរ,គ្បណេទ្យមុខរបរ,False,3,4
職長,អែកដឹកនំាបក្ មុ,អែកដឹកនាំប្កមុ,False,12,19
脚柱ジョイント,តំណេជ̶ង,តំណេជ(cid:822)ង,False,20,17
脚立,ជមណតើរមកងា,ជមណតើរមកាង,False,22,9
腹筋,សរសសដែកដកា ់ទទឹង,សរសសដែកដាក់ទទឹង,False,34,5
自在クランプ,ដងȠ ̮ំេសរ̡,ដង(cid:544)(cid:814)ំេសរ(cid:801),False,19,5
落ちる,្្ះរ,្្ះរ,True,8,18
落下（する）,(ករា )ធា ក្ល់,(ការ)ធ្លា ក់,False,14,14
血,ឈមា,ឈាម,False,13,16
衛生,អនមា ័យ,អនាម័យ,False,9,22
表示板,ផទង្ាំ បងា ញ្ហព័ត៍មនា,ផ្ទ ងាំ បង្ហា ញព័ត៍មាន,False,13,2
表面,ផទ្ ខង្នមុខ្,ផ្ទទខ្នងម្ុខ,False,44,13
補給（する）,(ោរ)បខន្ ថម,(ោរ)បខ្នថម,False,41,19
製造,ករា ផលិត,ការផលិត,False,1,4
規則,ប បញា ្ជ,ប បញ្ជា,False,6,6
親綱,ខស្ ែពួរមេ,ខ្សែពួរមេ,False,22,1
親綱支柱,ʰបព័នʀែខˍសុវតɶិʟព,(cid:688)បព័ន(cid:640)ែខ(cid:717)សុវត(cid:630)ិ(cid:671)ព,False,21,23
角度,ម,មុុំ,False,35,11
解体する（バラス）,ករា បំ បបក,ការបំ បបក,False,30,24
触る,សា ប្ទ,ស្ទា ប,False,42,14
計測器,នឡា ិកវា សា ់សទង់,នាឡិកាវាស់សទង់,False,44,5
計測（する）,(ករា )វសា ់,(ការ)វាស់,False,44,4
誤差,ភពា ខុសគា ្ន,ភាពខុសគ្នា,False,45,20
課長,បរ្ ធនា ការយិ លា យ័,ប្រធានការយាិ លយ័,False,12,8
調子,ចលនកនុងសលនួ,ចលនកន ុងសល នួ,False,16,26
調整（する）,(ករា )ថកសំរលួ,(ការ)ថកសំរលួ,False,42,19
警報設備,កផល្ លងចុចបប្ កសា អសា លន,កផ្លលងចុចប្បកាសអាសលន,False,17,10
警報音,សធមាងបរ្ កសា អសា នែ,សធមាងប្រកាសអាសនែ,False,12,14
資格,សមតថភ្ ពា (ជំនញា ),សមត្ថភាព(ជំនាញ),False,12,4
赤,បក្ ហម្,ប្កហម្,False,45,26
走行,លបើកបរ,លបើកបរ,True,41,15
足がつる,សាំយ ុងមជើង,សាំយ ុងមជើង,True,13,20
足もと注意,បប្ យ័តនប ៉ភះជើង,ប្បយ័តនប ៉ះភជើង,False,17,5
足をくじく,គរ្ ិចរ ើង,គ្រិចរ ើង,False,46,6
足元,មជើងមបក្ មា,មជើងមប្កាម,False,13,10
蹴上げ,កំពេ់ជំហៃា កជំា សណាើរ,កំពេ់ជំហាៃកាជំ សណាើរ,False,29,11
蹴込み,បនែកខងា កនគងសៅកំជា សណាើរ,បនែកខាងកន គងសៅកាំជសណាើរ,False,29,12
車両,រថយនត,រថយនត,True,41,22
転ぶ,ែួល,ែួល,True,9,20
転倒（する）,(ករា )ដួល,(ការ)ដួល,False,13,8
転圧（する）,(ោរ)រលមៀល,(ោរ)រលមៀល,True,41,25
転落（する）,(ករា )រេិលធា ក្ល់,(ការ)រេិលធ្លា ក់,False,14,9
軽油,គតប្រ ងតស្រ ល្ក(ម៉ា សូ រ),គត្របងត្រស្កល(ម៉ា សូ រ),False,39,24
近づく,ចៅជិត,ចៅជិត,True,43,6
逃げる,រត់បគច្,រត់បគ្ច,False,10,13
通り,នលវូ លំ,នល វូ លំ,False,29,10
通りを見る,ពិនិតយផលវូ ថនល្ ់,ពិនិតយផល វូ ថ្នល់,False,23,17
連結ピン,Ȝʅ ស់តʟȼ ប់,(cid:540)(cid:645)ស់ត(cid:671)(cid:572) ប់,False,20,18
連絡（する）,(ប្វើករា )ទកា ់ទង,(ប្វើការ)ទាក់ទង,False,11,22
遅刻（する）,(ធ្វើករា ) មកយឺត,(ធ្វើការ) មកយឺត,False,6,1
運ぶ,ចលើក,ចលើក,True,43,18
運転（する）,(ករា )ដបើកបរ,(ការ)ដបើកបរ,False,42,6
避難訓練,ហវកឹ្ ហតា ់ជមមលៀសមេញ,ហ្វកឹ ហាត់ជមមលៀសមេញ,False,13,4
避難（する）,(ប្វីករា )្បមែៀស,(ប្វីការ)្បមែៀស,False,9,23
部長,បរ្ ធនា ផន្ ែក,ប្រធានផ្នែក,False,12,7
配力筋,សរសសដែកដកា ់ឈរនត្ ង់,សរសសដែកដាក់ឈរន្តង់,False,34,6
配筋検査,ករា នត្ ួតពិ្ិតយករា ដកា ់ សរសសដែក,ការន្តួតពិ្ិតយការដាក់ សរសសដែក,False,36,25
配筋詳細図,បលរ់លំអិតោក់េរសេដែក,បលរ់លំអិតោក់េរសេដែក,True,32,13
重さ,ទមងន្ ់,ទម្ងន់,False,44,9
重ね継手,តុំណជ្ា ់គា ្ន,តុំណជា្់គ្នា,False,35,17
釘仕舞い,េំរលួ បែកសោល,េំរលួ បែកសោល,True,28,6
鉄筋,សរសសផ ្ ក,សរសសផ្ ក,False,25,5
鉄筋切断機,ម េុ៊ីនកតា ់េរសេដែក,ម េុ៊ីនកាត់េរសេដែក,False,31,4
鉄筋径,វជិ ាមនា ត្ សរសសដែក,វជិ ាមាន្តសរសសដែក,False,34,9
鉄筋曲げ加工機,ម េុ៊ីនពត់េរសេដែក,ម េុ៊ីនពត់េរសេដែក,True,31,5
長さ,បរ្ វែង,ប្រវែង,False,44,8
閉じる,បិទ,បិទ,True,42,20
開口補強筋,េរសេដែកពងរ្ ឹរដនែក បបើកចំ រ,េរសេដែកពង្រឹរដនែក បបើកចំ រ,False,32,14
開口部,ដផាកឡបើកចុំហរ,ដផាកឡបើកចុំហរ,True,35,19
開口部注意,បប្ យ័តនផន្ កភបើកចំហ,ប្បយ័តនផ្ននកភបើកចំហ,False,17,6
開放厳禁,ហមា ដចា ់ខតា បរើកចំហ,ហាមដាច់ខាតបរើកចំហ,False,10,2
防ぐ,រងា រ្ក,រង្កា រ,False,10,6
防止（する）,(ករា )ករា ពរា,(ការ)ការពារ,False,13,6
防音パネル,ផា ្ងំ ប់សមេលង,ផ្ា ងំ ប់សមេលង,False,22,4
集める,តប្ មូល,ត្បមូល,False,42,13
雇用保険,ធនា រា ៉ារា ់រងករា ងរា,ធានារា៉ារ់រងការងារ,False,4,11
雇用契約,កិចេសនាករា ងរា,កិចេសនាការងារ,False,3,10
離れる,ឃែត្លចេញ,ឃ្លែ តចេញ,False,43,21
電動のこ（丸のこ）,ʤ៉សុីនរɮរ,(cid:676)៉សុីនរ(cid:622)រ,False,20,21
電動丸のこ（電のこ）,រណមា ៉ា សុ៊ីន(ស ង ណូ កូ ),រណាម៉ា សុ៊ីន(ស ង ណូ កូ ),False,25,7
電工ドラム（ドラム）,ផខ្ ែ្ ស្ែើងរំផវ្ ង( ូ រ៉ារ រ ុ ),ផ្ខ្ែស្ែើងរំផ្វង( ូ រ៉ារ រ ុ ),False,25,6
電気,អគគីស្ នី,អគ្គីសនី,False,12,13
電源,ចរនតអគគិសនី,ចរនតអគគិសនី,True,2,4
電源を入れる,ចបើកថមា ពលច្ែើង,ចបើកថាមពលច្ែើង,False,43,7
電源を切る,បិទចរនតអគគិសនី,បិទចរនតអគគិសនី,True,2,5
電源を落とす,បិទថមា ពលច្ែើង,បិទថាមពលច្ែើង,False,43,8
青,មខ្ ៀែ,ម្ខៀែ,False,45,25
非常ベル,កណតឹងអសា នន,កណតឹងអាសនន,False,10,11
非常停止ボタン,ប៊ូ តុង្ បញឈ្ ប់ពពល អសា នន,ប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន,False,2,6
非常停止ボタンを押す,ចុចប៊ូ តុង្ បញឈ្ ប់ពពល អសា នន,ចុចប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន,False,2,7
非常口,ផលវូ ោសនា,ផល វូ ោសនា,False,1,10
面一,មោយនផាទងំ ពីរមសមើរន,មោយនផាទងំ ពីរមសមើរន,True,23,13
面木,ស ើបសងាើត្សលទរុខស្ ៅម ្ ងុ,ស ើបសងាើត្សលទរុខ្សៅម្ ងុ,False,26,14
頭上注意,បប្ យ័តនភលើកាល,ប្បយ័តនភលើកាល,False,17,9
養生,រ៉ុព័រធ,រ៉ុុំព័រធ,False,30,20
駐車禁止,ហមា ចត,ហាមចត,False,17,4
駐車（する）,(ោរ)ចររថយនត,(ោរ)ចររថយនត,True,41,20
高さ,កាំពស់,កាំពស់,True,44,7
高さ（タッパ）,កំពេ់,កំពេ់,True,28,8
黄色,មល្ ឿង,ម្លឿង,False,45,28
