言語,Page,No,日本語,翻訳
カンボジア語,38,13,ブレード（排土板）,ដប៉ាលរុញ(ដប៉ាលរុញែ)ី
カンボジア語,38,14,タイヤ,សំបកកង់
カンボジア語,38,15,クローラ,តច្រ វកា ់
カンボジア語,38,16,キー（鍵）,គស្ក
カンボジア語,38,17,"作業装置
（アタッチメント）","ឧបករណ៏ករា ងរា
(attachment)"
カンボジア語,38,18,エンジン,ម៉ា សុីន
カンボジア語,39,19,ディーゼルエンジン,ម៉ា សុីនគតប្រ ើម៉ា សូ រ
カンボジア語,39,20,エンジンオイル,គតប្រ ងម៉ា សុីន
カンボジア語,39,21,"オルタネータ
（充電発電機）",ម៉ា សុីនស្កថម្
カンボジア語,39,22,バッテリ,អេា ុយ
カンボジア語,39,23,燃料,គតប្រ ងឥណឌន:
カンボジア語,39,24,軽油,គតប្រ ងតស្រ ល្ក(ម៉ា សូ រ)
カンボジア語,39,25,ブレーキ,ត្រ វំង
カンボジア語,40,1,油圧シリンダ,ស ៊ីឡាំងអ ៊ីដរ្ លូ ិក
カンボジア語,40,2,油圧モータ,ម៉ូ ទ័រអ ៊ីដរ្ លូ ិក
カンボジア語,40,3,油圧ポンプ,សនប់ប៉ូមអ ៊ីដរ្ លូ ិក
カンボジア語,40,4,水漏れ,លលចធា យ្លទឹក
カンボジア語,40,5,油漏れ,លលចធា យ្លលដប្ ង
カンボジア語,40,6,冷却水,"ទឹកដកា ់ឱយ្ ដរ្ ជកា ់
(ម ស ៊ីន)"
カンボジア語,40,7,ブレーキ液,លដប្ ងដ្ រាំង
カンボジア語,40,8,燃料タンク,ធ ងឥនធនៈ
カンボジア語,40,9,ファンベルト,ខស្ ែពនា កងា រ្ហ
カンボジア語,40,10,空気圧,សមា ធសយល់
カンボジア語,40,11,クラッチ,អាំដា្ យ
カンボジア語,40,12,急発進,ចបា ់ល្តើមលលឿន
カンボジア語,40,13,急ブレーキ,ចបា ់ដ្ រាំងបនា ន្ទ់
カンボジア語,41,14,アイドリング,បល្ឆេលះចលា
カンボジア語,41,15,走行,លបើកបរ
カンボジア語,41,16,旋回,បរ់
カンボジア語,41,17,安全ロック,លោស វរថិភេា
カンボジア語,41,18,安全支柱,សសរស វរថិភេា
カンボジア語,41,19,補給（する）,(ោរ)បខន្ ថម
カンボジア語,41,20,駐車（する）,(ោរ)ចររថយនត
カンボジア語,41,21,歩行者,អនកលថមើរល ើង
カンボジア語,41,22,車両,រថយនត
カンボジア語,41,23,死角,ដ ្ ងុ លមើលមិនល ើញ
カンボジア語,41,24,斜面,ដម្ ល
カンボジア語,41,25,転圧（する）,(ោរ)រលមៀល
カンボジア語,42,1,接触（する）,(ករា )ប ៉ទះ ងគិ្ច
カンボジア語,42,2,作動（する）,(ករា )ដំដ ើរករា
カンボジア語,42,3,整備（する）,(ករា )ដរៀបចំ ថែសំរលួ
カンボジア語,42,4,点検（する）,(ករា )តរ្ ួរពិនិរយ
カンボジア語,42,5,動かす,បតរូកថនែង្
カンボジア語,42,6,運転（する）,(ករា )ដបើកបរ
カンボジア語,42,7,測る,វសា ់
カンボジア語,42,8,操作（する）,(ករា )តប្ រិបរតិករា
カンボジア語,42,9,停止（する）,(ករា )ឈប់
カンボジア語,42,10,切る,ករា ់ ឬ​ ពនែរ់
カンボジア語,42,11,回す,បងវិ្ល
カンボジア語,42,12,押す,រ ញ
カンボジア語,42,13,集める,តប្ មូល
カンボジア語,42,14,触る,សា ប្ទ
カンボジア語,42,15,縛る,ចងជ្ បា ់
カンボジア語,42,16,揃える,រតម្ មឹ
カンボジア語,42,17,結ぶ,ចង្
カンボジア語,42,18,しゃがむ,អងគុ្យ(ដចងា ្ដោង្)
カンボジア語,42,19,調整（する）,(ករា )ថកសំរលួ
カンボジア語,42,20,閉じる,បិទ
カンボジア語,43,1,取り出す,យកចេញ
カンボジア語,43,2,戻す,ដកា ់ចៅវញិ
カンボジア語,43,3,仕上げる,ច្វើចោយច ើយ
カンボジア語,43,4,折れる,បកា ់
カンボジア語,43,5,欠ける,ដែប
カンボジア語,43,6,近づく,ចៅជិត
カンボジア語,43,7,電源を入れる,ចបើកថមា ពលច្ែើង
カンボジア語,43,8,電源を落とす,បិទថមា ពលច្ែើង
カンボジア語,43,9,スイッチを切る,បិទកុងតកា ់
カンボジア語,43,10,固定（する）,(ករា )េងភា ប្ជ់
カンボジア語,43,11,ゆるめる,បនធរូ
カンボジア語,43,12,伸ばす,ពនលតូ
カンボジア語,43,13,外す,ចដោា ះ
カンボジア語,43,14,曲げる,ពត់
カンボジア語,43,15,出す,បចចេញ
カンボジア語,43,16,乾かす,សមងតួ
カンボジア語,43,17,数える,របា ់
カンボジア語,43,18,運ぶ,ចលើក
カンボジア語,43,19,積む,លទកុ
カンボジア語,43,20,下ろす,ដកា ់េុោះ
カンボジア語,43,21,離れる,ឃែត្លចេញ
カンボジア語,44,1,位置,ទីតាំង
カンボジア語,44,2,寸法,ខា ត្ន
カンボジア語,44,3,測定（する）,(ករា )វសា ់ វែង
カンボジア語,44,4,計測（する）,(ករា )វសា ់
カンボジア語,44,5,計測器,នឡា ិកវា សា ់សទង់
カンボジア語,44,6,温度,សីតុណហភ្ ពា
カンボジア語,44,7,高さ,កាំពស់
カンボジア語,44,8,長さ,បរ្ វែង
カンボジア語,44,9,重さ,ទមងន្ ់
カンボジア語,44,10,厚さ,កបា្ ស
カンボジア語,44,11,硬さ,ភពា រងឹ
カンボジア語,44,12,深さ,ជមប្ ៅ្
カンボジア語,44,13,表面,ផទ្ ខង្នមុខ្
カンボジア語,44,14,すきま,ចមន្ លោា ះ
カンボジア語,44,15,中心,កណា ល្ត
カンボジア語,45,16,値,តផម្ ល្
カンボジア語,45,17,安定（する）,(ករា ាន)មស្ េរភពា
カンボジア語,45,18,大きさ,ទាំហាំ
カンボジア語,45,19,数,ចាំនួន
カンボジア語,45,20,誤差,ភពា ខុសគា ្ន
カンボジア語,45,21,中,កនុង
カンボジア語,45,22,反対,ទទយុ
カンボジア語,45,23,周り,ជុាំែញិ
カンボジア語,45,24,尺,ខា ត្ន សគា ុ
カンボジア語,45,25,青,មខ្ ៀែ
カンボジア語,45,26,赤,បក្ ហម្
カンボジア語,45,27,白,ស
カンボジア語,45,28,黄色,មល្ ឿង
カンボジア語,46,No.,វកា យ្ សពទ្,ក ា បក្បរ្ ប
カンボジア語,46,1,片づける,រ ៀបចំ
カンボジア語,46,2,捨てる,រោល
カンボジア語,46,3,掃く,រោស
カンボジア語,46,4,持ち上げる,រលើករ ើង
カンボジア語,46,5,束ねる,ចងោច់
カンボジア語,46,6,足をくじく,គរ្ ិចរ ើង
カンボジア語,47,No.,វកា យ្ សពទ្,ក ា បក្បរ្ ប
カンボジア語,47,1,一輪車,រេះកង់មួយ
カンボジア語,47,2,支柱,សស េប់
カンボジア語,47,3,ショベル,តប ល
カンボジア語,47,4,かけや,ញញួ រ ើ
カンボジア語,48,ក ា បក្បរ្ ប,ក ា បក្បរ្ ប,
カンボジア語,48,ぼんやりするな！ケガするぞ。,កុំរលចលឹក!អចា នឹង ង បួស។,
カンボジア語,48,"あぶ
ばかやろう！危ない！",លឺរលើតមន!គប្ យ័តារគគ្ ះ្នថា កា ់!,
カンボジア語,48,"なに あぶ もど
何やってんだ。危ないぞ。戻れ！",រម ចក៏រ្វើអចេឹង។រគគ្ ះ្នថា កា ់ណសា ់។គត្ ប់មកវញិ !,
カンボジア語,48,"もど
いいから、戻ってこい！",អត់អីរេ គត្ ប់មកវញិ ភលមា !,
カンボジア語,48,"かって なか はい
勝手に中に入るな！",កុំចូលកនុងេីរនះរដយ្ឋ គម្នក ា អនុញា ត្ញ!,
カンボジア語,49,ក ា បក្បរ្ ប,ក ា បក្បរ្ ប,
カンボジア語,49,どうしてですか。,មូលរហតុអវើ,
カンボジア語,49,これでいいですか。,រ្វើដូរចាះោនតដ ឬរេ,
カンボジア語,49,"いちど ねが
すみません。もう一度お願いします。",សុំរទសា សូមនិយយា មែងរេៀត,
カンボジア語,49,"つか いちど おし
これはどうやって使いますか。もう一度教えてください。",វតថ ុរនះរគប្ ើដូចរមែច?សូមបរគង្ ៀនខ្ ុមំ ែងរេៀត,
カンボジア語,49,"まる
すみません。「丸のこ」ってどれですか。",សុំរទសា មួយណជា ា「 ណ ា កតា ់」,
カンボジア語,49,"いみ
「ケレンがけ」ってどういう意味ですか。",「( រខ ត ៉ែង កា តរ )(ក ា ូសខតា )់ 」មនា នយ័យ ងា ដូចរមែច,
