言語,Excel行,番号,単語,翻訳
カンボジア語,83,13,スイッチ入れるな,កុំធបើកេរនត អ្គ្ិគ សនី
カンボジア語,84,14,スイッチ切るな,កុំបិ េរនត អ្គ្ិគ នសី
カンボジア語,85,15,使用禁止,ហាមធម្របើម្រាស់
カンボジア語,87,1,5S,ស ៥
カンボジア語,88,2,整理,មាៃរបបៀប
カンボジア語,89,3,整頓,បរៀបរយ
カンボジア語,90,4,清掃,សមាា  ត
カンボジア語,91,5,清潔,ស្ថា ត
カンボジア語,92,6,しつけ,វិៃ័យ
カンボジア語,93,7,掃除（する）,(ប្ីវការ)សមាា  ត
カンボジア語,95,8,片づける,បរៀបចាំ
カンボジア語,96,9,捨てる,បចល
カンボジア語,97,10,汚い,ក្ខ្វ ក្់
カンボジア語,98,11,汚れる,ប្លាក្់
カンボジア語,99,12,分別（する）,(ប្ីវការ)ដបងដចក្
カンボジア語,100,13,燃えないごみ,ស មា្មមិៃប ះ
カンボジア語,101,14,燃えるごみ,ស មា្មប ះ
カンボジア語,102,15,挟まれる,គ្នប
カンボジア語,103,16,巻き込まれる,ត្ូវាៃពាក្់ព័ៃធ
カンボジア語,104,17,やけど（する）,(មាៃ)រលាក្
カンボジア語,105,18,落ちる,្្ះរ
カンボジア語,106,19,すべる,រអិល
カンボジア語,108,20,転ぶ,ែួល
カンボジア語,109,21,濡れる,បសើម
カンボジア語,110,22,衛生,អនាម័យ
カンボジア語,111,23,避難（する）,(ប្ីវការ)្បមែៀស
カンボジア語,112,24,救急車,ឡាៃសប ងា្គ ះបនាា  ៃ់
カンボジア語,113,25,災害,ប គ្ន្ះមហៃត ោយ
カンボジア語,114,26,地震,ការរញ្ជ យួ   ែី
カンボジア語,115,27,もぐる,មុ្
カンボジア語,117,1,火気厳禁,ហាមដាច់ខាតប រ្ើប្លើង
カンボジア語,118,2,開放厳禁,ហាមដាច់ខាតបរើកចំហ
カンボジア語,119,3,標識,សញ្ញា
カンボジア語,120,4,気をつける,ខ្ំញនឹង រ្ងុ រ្យ័តន
カンボジア語,121,5,持ち込む,យកចូល
カンボジア語,122,6,防ぐ,រង្កា រ
カンボジア語,123,7,火,ប្លើង
カンボジア語,124,8,煙,ផ្សែង
カンボジア語,125,9,消火,ព្នល ត់អគ្ិគ ្័យ
カンボジア語,126,10,消火器,ឧរករណ៍ព្នល ត់អគ្ិគ ្័យ
カンボジア語,127,11,非常ベル,កណឹត ងអាសនន
カンボジア語,128,12,火災報知機,កណឹត ង រ្កាសអគ្ិគ ្័យ
カンボジア語,129,13,逃げる,រត់បគ្ច
カンボジア語,130,14,現場,កផ្នល ងការង្ករ
カンボジア語,131,15,作業,ការង្ករ
カンボジア語,132,16,ミーティング,ការ រ្ជុំ
カンボジア語,133,17,研修（する）,(ប្វើការ)កមមសិកា
カンボジア語,135,18,実習（する）,(ប្វើការ)សិកា
カンボジア語,136,19,あいさつ,ររវកិចច
カンボジア語,137,20,確認（する）,(ប្វើការ)រញ្ញា  ក់
カンボジア語,138,21,報告（する）,(ប្វើការ)ការោយការណ៍
カンボジア語,139,22,連絡（する）,(ប្វើការ)ទាក់ទង
カンボジア語,140,23,相談（する）,(ប្វើការ)ព្ិភាកា
カンボジア語,141,24,渡す,ឆ្លងកាត់
カンボジア語,142,25,申請書,ពាកែបសន ើសុំ
カンボジア語,143,26,寝坊（する）,(ប្វើការ)បគ្ង ជ្ុល
カンボジア語,147,1,技能,
カンボジア語,148,2,技能検定試験,
カンボジア語,149,3,受検（する）,
カンボジア語,150,4,資格,
カンボジア語,151,5,手当,
カンボジア語,152,6,社員,
カンボジア語,153,7,部長,
カンボジア語,154,8,課長,
カンボジア語,155,9,更衣室,
カンボジア語,156,10,台車,
カンボジア語,157,11,床,
カンボジア語,158,12,出口,
カンボジア語,159,13,電気,
カンボジア語,160,14,警報音,
カンボジア語,161,15,コンセント,
カンボジア語,162,16,作業場,
カンボジア語,163,17,作業台,
カンボジア語,164,18,工事現場,
カンボジア語,165,19,職長,
カンボジア語,166,20,作業責任者,
カンボジア語,170,1,禁止,
カンボジア語,171,2,表示板,
カンボジア語,172,3,禁止事項,
カンボジア語,173,4,避難訓練,
カンボジア語,174,5,感電（する）,
カンボジア語,175,6,防止（する）,
カンボジア語,176,7,予防（する）,
カンボジア語,177,8,転倒（する）,
カンボジア語,178,9,挟まる,
カンボジア語,179,10,足元,
カンボジア語,180,11,不安定（な）,
カンボジア語,181,12,後片付け,
カンボジア語,182,13,救急箱,
カンボジア語,183,14,絆創膏,
カンボジア語,184,15,体調,
カンボジア語,185,16,血,
カンボジア語,186,17,熱中症,
カンボジア語,187,18,吐き気,
カンボジア語,188,19,嘔吐（する）,
カンボジア語,189,20,足がつる,
カンボジア語,190,21,気分が悪い,
カンボジア語,191,22,寝不足,
カンボジア語,192,23,安全ネット,
カンボジア語,193,24,安全点検,
カンボジア語,197,1,KY活動（危険予知活動）,
カンボジア語,198,2,危険,
カンボジア語,199,3,ぶつかる,
カンボジア語,200,4,当たる,
カンボジア語,201,5,下敷きになる,
カンボジア語,202,6,打つ,
カンボジア語,203,7,バランスを崩す,
カンボジア語,204,8,倒れる,
カンボジア語,205,9,転落（する）,
カンボジア語,206,10,指差呼称,
カンボジア語,207,11,ヒヤリハット,
カンボジア語,208,12,原因,
カンボジア語,209,13,対策,
カンボジア語,210,14,落下（する）,
カンボジア語,211,15,墜落（する）,
カンボジア語,212,16,確認（する）,
カンボジア語,216,1,作業着,សម្លៀកបំពាក់ម្វើការ
カンボジア語,218,2,作業服,សម្លៀកបំពាក់ការងារ
カンボジア語,219,3,作業靴,ស្សែកម ើងការងារ
カンボジア語,220,4,手袋,មរោ្ដៃ
カンボジア語,223,5,帽子,្ួក
カンボジア語,224,6,保護帽（ヘルメット）,្ួកការពារ(្ួកបងាា រ មររោះថ្នា ក់)
カンボジア語,227,7,保護具,ឧបករណ៏បងាា រមររោះថ្នា ក់
カンボジア語,228,8,あごひも,ស្សែរកវ៉ា ត់ចងាា រ
カンボジア語,229,9,ボタン,មេវ
カンボジア語,231,10,ポケット,មោម ៉ៅ
カンボジア語,235,11,保護メガネ,ស្វនតាការពារ
カンボジア語,236,12,マスク,ម៉ៅ ស់
カンボジア語,237,13,耳栓,ឆ្ន ុករតមចៀក
カンボジア語,238,14,安全靴,ស្សែកម ើងសុវតិថភាព
カンボジア語,239,15,墜落制止用器具（安全帯）,ឧបករណ៏សំរាប់បញ្ឈប់ ការធ្លល ក់ចុោះ(ស្សែរកវ៉ា ត់ សុវតិថភាព)
カンボジア語,244,16,業務,កិចចការ
カンボジア語,245,17,時間厳守,របកាន់មពលមវលាខាា  ប់សជ នួ
カンボジア語,246,18,予定,គមរមង
カンボジア語,247,19,日付,កាលបរិមចេទ
カンボジア語,248,20,準備（する）,(ការ)មរតៀ្
カンボジア語,249,21,会議,ការរប ុំ
カンボジア語,250,22,朝礼,ការរប ុំមពលរពឹក
カンボジア語,251,23,報告書,មសចកីត រាយការណ៏
カンボジア語,252,24,マニュアル,មសៀវមៅស្ណនំ
カンボジア語,253,25,作業手順書,ឯកោរនីតិវិ្ីការងារ
カンボジア語,254,26,調子,ចលនកន ុងសល នួ
カンボジア語,256,1,立入禁止,ហាមចូល
カンボジア語,257,2,禁煙,ហាមជក់បារី
カンボジア語,258,3,火気厳禁,ហាមបង្កា ត់ភ្លើង
カンボジア語,259,4,駐車禁止,ហាមចត
カンボジア語,260,5,足もと注意,ប្បយ័តនប ៉ះភជើង
カンボジア語,261,6,開口部注意,ប្បយ័តនផ្ននកភបើកចំហ
カンボジア語,262,7,感電注意,ប្បយ័តនឆក់
カンボジア語,263,8,堕落注意,ប្បយ័តនធ្លល ក់
カンボジア語,264,9,頭上注意,ប្បយ័តនភលើកាល
カンボジア語,265,10,警報設備,កផ្លល ងចុចប្បកាសអាសលន
カンボジア語,267,11,消火器,បំពង់ពលល ត់អគ្ិគ ្័យ
カンボジア語,268,12,AED設置場所,ទីតំងបំពាក់AED
カンボジア語,269,13,保護帽着用,ពាក់មួកការពារ(មួក បង្កា រភប្រ៉ះថ្នន ក់)
カンボジア語,270,14,安全帯使用,ភប្បើផ្សែប្កវ៉ា ត់សុវតិថ ភាព
カンボジア語,271,15,昇降階段,ជភ្ត ើរភ ើងចុ៉ះ
カンボジア語,272,16,休憩所,កផ្លល ងសប្ាក
カンボジア語,273,17,最大積載荷重,សមតថភាពនុទ កអតិបរា
カンボジア語,274,18,喫煙所,កផ្លល ងជក់បារី
カンボジア語,275,19,整理整頓,ភរៀបចំ សណ្តត  ប់ធ្លន ប់
カンボジア語,276,20,安全通路,នូល  វសុវតិថ ភាព
カンボジア語,278,1,,
カンボジア語,279,2,,
カンボジア語,280,3,,
カンボジア語,281,4,,
カンボジア語,282,5,,
カンボジア語,283,6,,
カンボジア語,284,7,,
カンボジア語,285,8,,
カンボジア語,286,9,,
カンボジア語,287,10,,
カンボジア語,289,11,,
カンボジア語,290,12,,
カンボジア語,291,13,,
カンボジア語,292,14,,
カンボジア語,293,15,,
カンボジア語,294,16,,
カンボジア語,295,17,,
カンボジア語,296,18,,
カンボジア語,297,19,,
カンボジア語,298,20,,
カンボジア語,299,21,,
カンボジア語,301,22,,
カンボジア語,302,23,,
カンボジア語,303,24,,
カンボジア語,304,25,,
カンボジア語,306,1,親綱,ខ្សែពួរមេ
カンボジア語,307,2,建枠（ビティ）,គំរបឈ្នន ន់(ប៊ី ្ី)
カンボジア語,308,3,メッシュシート,ក្កណាត់សំណាញ់
カンボジア語,309,4,防音パネル,ផ្ា ំង ប់សមេលង
カンボジア語,310,5,朝顔材,ផ្ា ំងមក្ៅសក្ម្ខប់ការពារ
カンボジア語,311,6,架空線,ខ្សែមលើ
カンボジア語,312,7,幅木（仮設足場）,កាត របំងមជើង(កខ្នល ង ដ្ឋក់មជើងបមណាត  ះោសនន )
カンボジア語,313,8,単管,បំពង់ឯក
カンボジア語,314,9,脚立,ជមណត ើរមកាង
カンボジア語,316,10,作業半径,កាំក្បតិបតិត ការងារ
カンボジア語,317,11,仮ボルト,បូ  ុងបមណាត  ះោសនន
カンボジア語,318,12,手直し,ខ្កម ើងវិញ
カンボジア語,319,13,面一,មោយនផាទំងពីរមសម ើរន
カンボジア語,320,14,点検事項,ក្បការក្តួតពិនិតយ
カンボジア語,321,15,積載荷重, េងន់ចំណុះដ្ឋក់
カンボジア語,322,16,すき間,ចមន្ទល  ះ
カンボジア語,323,17,通りを見る,ពិនិតយផូល  វថ្នល់
カンボジア語,324,18,組立,តមេលើង
カンボジア語,325,19,地組,ការផ្ំគេូលដ្ឋា ន
カンボジア語,327,20,天端,ខ្ផនកខ្ទងមលើននសំណង់
カンボジア語,328,21,玉掛け,ចំណងTamagake
カンボジア語,329,22,合図,សញ្ញា
カンボジア語,330,23,定格荷重, េងន់តេខ្ទន ត
カンボジア語,331,24,たち,បញ្ឈរ
カンボジア語,332,25,職長,មេការ
カンボジア語,334,1,安全カバー,គម្របសុវត្ិថ ភាព
カンボジア語,335,2,安全帯,ផ្ខ្ែម្កវា៉ា ត្់សុវត្ិថ ភាព
カンボジア語,336,3,インサート,បញ្ូច ល
カンボジア語,337,4,スペーサ,ឧបករណ៏រកាចស្ែ  ោះ
カンボジア語,338,5,鉄筋,សរសសផ្ ក
カンボジア語,339,6,電工ドラム（ドラム）,ផ្ខ្ែស្ែើងរំផ្វង( ូ រ៉ា រ រុ  )
カンボジア語,340,7,電動丸のこ（電のこ）,រណាម៉ា សុ៊ីន(ស ង ណូ កូ )
カンボジア語,341,8,パッキン,ថ្នា ំបិទ ិត្
カンボジア語,342,9,小バール,ផ្ ករស់ត្ូច
カンボジア語,343,10,大バール,ផ្ ករស់ធំ
カンボジア語,345,11,化粧合板,កាា បនទ ោះត្ុបផ្ត្ង
カンボジア語,346,12,普通合板,កាា បនា ោះធរមតា
カンボジア語,347,13,スタイロフォーム,បនទ ោះសនា
カンボジア語,348,14,面木,ស ើបសងាើត្សលទរុខ្សៅម្ ុង
カンボジア語,349,15,バイブレーター,ម៉ា ស៊ីុនរំញ៉ារ័
カンボジア語,350,16,剥離剤,ថ្នា ំសំណក
カンボジア語,351,17,けこみ板,កាា បញ្ឈរ
カンボジア語,352,18,目地棒, ំបូងោក់កាច់ម្ ុង
カンボジア語,353,19,コンクリート,សបត្ុង
カンボジア語,354,20,コンベックス,ឧបករណ៏វាស់ផ្វង
カンボジア語,356,21,作業用手袋,សម្នរស ការង្ករ
カンボジア語,357,22,差金,ផ្ កបញ្ូច ល
カンボジア語,358,23,水平器,ផ្រ៉ាម្ត្សទ ង់
カンボジア語,359,24,墨さし,បិចសធវើព៊ីឬស៊ីែ
カンボジア語,360,25,墨つぼ,ប្ទ  ត្់ផ្ខ្ែ
カンボジア語,362,1,"丸セパレーター
（丸セパ）","ឧបករណ៏បំបបករូបរាងមូល
(ម៉ា រ៉ុ សេប៉ា )"
カンボジア語,363,2,天端釘,"បែកសោលបនែកខាងសលើនៃ
េំណង់"
カンボジア語,364,3,ケレン,ការេំសលៀង
カンボジア語,365,4,型枠支保工,េ៉ុ មេរមប់ចាក់សបត៉ុង
カンボジア語,366,5,"基礎型枠
（メタルフォーム）",េ៉ុ មរ្រោះ(សមតាលហ្វ ម)
カンボジア語,367,6,釘仕舞い,េំរួលបែកសោល
カンボジア語,368,7,スラブ天端,រកឡាបនែកខាងសលើនៃេំណង់
カンボジア語,369,8,高さ（タッパ）,កំពេ់
カンボジア語,370,9,建込み,សលើកយួរសហ្ើយោក់
カンボジア語,372,10,通り,នូល  វលំ
カンボジア語,373,11,蹴上げ,កំពេ់ជំហាៃកាំជសណា ើរ
カンボジア語,374,12,蹴込み,បនែកខាងកន គងសៅកាំជសណា ើរ
カンボジア語,375,13,工具の手入れ,សរៀបេំោតឧបករណ៏
カンボジア語,376,14,下げ振り,ឧបករណ៏វាេ់បញ្ឈររតង់
カンボジア語,377,15,地墨,សាែ មេញ្ជា  កំណត់រីតាំង
カンボジア語,378,16,捨てコンクリート,ចាក់សបត៉ុងសេា ើង(សបត៉ុង សចាល)
カンボジア語,379,17,はね出し,ការសចញកាា ពីបសគោ ល
カンボジア語,380,18,はらみ,ភ្ជពសប៉ា ងច៉ុោះ
カンボジア語,382,19,前面,ននៃខាងម៉ុខ
カンボジア語,383,20,養生,រ៉ុុំព័រធ
カンボジア語,384,21,レベル,កំពេ់
カンボジア語,385,22,割付,បបងបចក
カンボジア語,386,23,埋め込み金物,ឧបករណ៏បែកបងោប់
カンボジア語,387,24,解体する（バラス）,ការបំបបក
カンボジア語,388,25,かぶり寸法,ករមេ់រ្ប
カンボジア語,390,1,異形棒鋼,ឧបករណ៏ពង្រឹរបបតុរ រូបរារពិបេេ
カンボジア語,391,2,結束線,ដសែរឹតចំណរ
カンボジア語,392,3,結束工具,ឧបករណ៏រឹតចរ
カンボジア語,393,4,鉄筋切断機,ម  េ៊ីុនកាត់េរសេដែក
カンボジア語,394,5,鉄筋曲げ加工機,ម  េ៊ីុនពត់េរសេដែក
カンボジア語,395,6,フック,េំពក់
カンボジア語,396,7,保護帽（ヘルメット）,ម្ួកការពារ
カンボジア語,397,8,アンカー,ដែកយុថាា
カンボジア語,398,9,加工場,កដនល រដកសនែ
カンボジア語,399,10,スペーサ―,ឧបករណ៏រកាចប្ល  ះ
カンボジア語,401,11,ドーナツ,ឧបករណ៏រកាចប្ល  ះរារ ជាររវរ់(ែូណាត់)
カンボジア語,402,12,加工配筋図,បល រ់ោក់េសេដែកដកសនែ
カンボジア語,403,13,配筋詳細図,បល រ់លំអិតោក់េរសេដែក
カンボジア語,404,14,開口補強筋,េរសេដែកពង្រឹរដនែក បបើកចំ រ
カンボジア語,405,15,幅止め筋,េរសេដែកពង្រឹរ
カンボジア語,406,16,差筋,េរសេដែកចប្ល  ះេំណរ់
カンボジア語,407,17,柱主筋,េរសេដែកេេរបម្
カンボジア語,408,18,柱配筋,ោក់េរសេដែកកន គរេេរ
カンボジア語,409,19,スラブ筋,េរសេង្កឡា
カンボジア語,410,20,ベース筋,េរសេង្គឹះ
カンボジア語,412,21,帯筋（フープ）,េរសេដែកេប់េល់ការ ដបកបបតុរេេរ( ឺវ ប ពុ)
カンボジア語,413,22,下端筋,េរសេខារបង្កាម្ខារចុរ
カンボジア語,414,23,上端筋,េរសេខារចុរខារបលើ
カンボジア語,415,24,主筋,េរសេបម្
カンボジア語,416,25,あばら筋,េរសេដែកលកា ណ:នឹអ រជំនឺ
カンボジア語,418,1,はかま筋,សរសសដែកលកខ ណ:កន្រ្ត ក
カンボジア語,419,2,縦筋,សរសសដែកបញ្ឈរ
カンボジア語,420,3,下筋,សរសសដែកខាងឡន្កាម
カンボジア語,421,4,横筋,សរសសដែកឡផតក
カンボジア語,422,5,腹筋,សរសសដែកដាក់ទទឹង
カンボジア語,423,6,配力筋,សរសសដែកដាក់ឈរន្តង់
カンボジア語,424,7,上筋,សរសសដែកខាងឡលើ
カンボジア語,425,8,スパイラル筋,សរសសដែកលកខ ណ:រងវង់
カンボジア語,426,9,鉄筋径,វិជាមាន្តសរសសដែក
カンボジア語,427,10,かぶり厚さ,កមាល  ស់ន្គប
カンボジア語,429,11,角度,មុុំ
カンボジア語,430,12,シングル,ឯក
カンボジア語,431,13,ダブル,ឡទវ
カンボジア語,432,14,千鳥結束,ចុំណងចឡ្ល  ោះគ្នា
カンボジア語,433,15,切断寸法,ទុំហុំដផាកកាត់
カンボジア語,434,16,加工寸法,ទុំហុំដកសនា
カンボジア語,435,17,重ね継手,តុំណជា្់គ្នា
カンボジア語,436,18,圧接継手,តុំណគ្នប
カンボジア語,437,19,開口部,ដផាកឡបើកចុំហរ
カンボジア語,438,20,溶接金網,សុំណាញ់ដែកផា
カンボジア語,440,21,搬出,ការែឹកឡចញ
カンボジア語,441,22,搬入,ការែឹកចូល
カンボジア語,442,23,基礎,ន្គឹោះ
カンボジア語,443,24,機械式継手,តុំណឡដាយមា៉ា សីុ្
カンボジア語,444,25,配筋検査,ការន្តួតពិ្ិតយការដាក់ សរសសដែក
カンボジア語,446,1,トラクタ,ត្រាក់ទរ័
カンボジア語,447,2,ブルドーザ,គត្រេឿងចត្រករុញែី
カンボジア語,448,3,トラクタショベル,ត្រាក់ទ័រឈូសែី
カンボジア語,449,4,ホイルローダ,រ ឡូូ   កិនែី
カンボジア語,450,5,ダンプトラック,ត្រាក់ទ័រែឹកែី
カンボジア語,451,6,油圧ショベル,គត្រេឿងចត្រកកាយែីអីុត្រែូ លិក
カンボジア語,452,7,バックホウ,ត្រាក់ទរ័កាយែី(គអសស្កា )
カンボジア語,453,8,ローディングショベル,គត្រេឿងចត្រកចូកែី
カンボジア語,454,9,ローラ,រ ឡូូ   កិន
カンボジア語,456,10,バケット,ដប៉ាលចូក
カンボジア語,457,11,ブーム,ែងសនទ ចូ
カンボジア語,458,12,アーム,ដែគលើក
カンボジア語,459,13,ブレード（排土板）,ដប៉ាលរុញ(ដប៉ាលរុញែី)
カンボジア語,460,14,タイヤ,សំបកកង់
カンボジア語,461,15,クローラ,ត្រចវាក់
カンボジア語,462,16,キー（鍵）,គស្ក
カンボジア語,463,17,"作業装置
（アタッチメント）","ឧបករណ៏ការងារ
(attachment)"
カンボジア語,464,18,エンジン,ម៉ា សុីន
カンボジア語,466,19,ディーゼルエンジン,ម៉ា សុីនគត្របើម៉ា សូ រ
カンボジア語,467,20,エンジンオイル,គត្របងម៉ា សុីន
カンボジア語,468,21,"オルタネータ
（充電発電機）",ម៉ា សុីនស្កកថ្ម
カンボジア語,469,22,バッテリ,អាេុយ
カンボジア語,470,23,燃料,គត្របងឥណឌ ន:
カンボジア語,471,24,軽油,គត្របងត្រស្កល(ម៉ា សូ រ)
カンボジア語,472,25,ブレーキ,ត្រ្ំវ ង
カンボジア語,474,1,油圧シリンダ,ស៊ី ឡាំងអ៊ី ដ្រូលិក
カンボジア語,475,2,油圧モータ,ម៉ូ ទ័រអ៊ី ដ្រូលិក
カンボジア語,476,3,油圧ポンプ,សន ប់ប៉ូមអ៊ី ដ្រូលិក
カンボジア語,477,4,水漏れ,លលចធ្លា យទឹក
カンボジア語,478,5,油漏れ,លលចធ្លា យលដ្បង
カンボジア語,479,6,冷却水,"ទឹកដាក់ឱ្យដ្រជាក់
(ម  ស៊ី ន)"
カンボジア語,480,7,ブレーキ液,លដ្បងដ្្រ ាំង
カンボジア語,481,8,燃料タンク,ធ ងឥនធ នៈ
カンボジア語,482,9,ファンベルト,ខ្សែពានកង្ហា រ
カンボジア語,483,10,空気圧,សមា  ធសយល់
カンボジア語,484,11,クラッチ,អាំដ្ាយ 
カンボジア語,485,12,急発進,ចាប់ល្តើមលលឿន
カンボジア語,486,13,急ブレーキ,ចាប់ដ្្រ ាំងបន្ទា  ន់
カンボジア語,488,14,アイドリング,បល្ឆ េះលចាល
カンボジア語,489,15,走行,លបើកបរ
カンボジア語,490,16,旋回,បរ់
カンボジア語,491,17,安全ロック,លោស វរិថភាេ
カンボジア語,492,18,安全支柱,សសរស វរិថភាេ
カンボジア語,493,19,補給（する）,(ោរ)បខ្នថ ម
カンボジア語,494,20,駐車（する）,(ោរ)ចររថយនត
カンボジア語,495,21,歩行者,អន កលថមើរល ើង
カンボジア語,496,22,車両,រថយនត
カンボジア語,497,23,死角,ដ្ ុងលមើលមិនល ើញ
カンボジア語,498,24,斜面, ដ្មល
カンボジア語,499,25,転圧（する）,(ោរ)រលមៀល
カンボジア語,501,1,接触（する）,(ការ)ប ៉ះទង្ិគច
カンボジア語,502,2,作動（する）,(ការ)ដំដ ើរការ
カンボジア語,503,3,整備（する）,(ការ)ដរៀបចំថែសំរួល
カンボジア語,504,4,点検（する）,(ការ)ត្រួរពិនិរយ
カンボジア語,505,5,動かす,បត រូកថនែ ង្
カンボジア語,506,6,運転（する）,(ការ)ដបើកបរ
カンボジア語,507,7,測る,វាស់
カンボジア語,508,8,操作（する）,(ការ)ត្បរិបរិតការ
カンボジア語,509,9,停止（する）,(ការ)ឈប់
カンボジア語,510,10,切る,ការ់ ឬ ពនែ រ់
カンボジア語,511,11,回す,បង្ិវល
カンボジア語,512,12,押す,រ ញ
カンボジア語,513,13,集める,ត្បមូល
カンボジア語,514,14,触る,ស្ទា ប
カンボジア語,515,15,縛る,ចង្ជាប់
カンボジア語,516,16,揃える,រត្មឹម
カンボジア語,517,17,結ぶ,ចង្
カンボジア語,518,18,しゃがむ,អង្គ ុយ(ដចាង្ដោង្)
カンボジア語,519,19,調整（する）,(ការ)ថកសំរួល
カンボジア語,520,20,閉じる,បិទ
カンボジア語,522,1,取り出す,យកចេញ
カンボジア語,523,2,戻す,ដាក់ចៅវិញ
カンボジア語,524,3,仕上げる,ច្វើចោយច ើយ
カンボジア語,525,4,折れる,បាក់
カンボジア語,526,5,欠ける,ដែប
カンボジア語,527,6,近づく,ចៅជិត
カンボジア語,528,7,電源を入れる,ចបើកថាមពលច្ែើង
カンボジア語,529,8,電源を落とす,បិទថាមពលច្ែើង
カンボジア語,530,9,スイッチを切る,បិទកុងតាក់
カンボジア語,531,10,固定（する）,(ការ)េងភ្ជា  ប់
カンボジア語,532,11,ゆるめる,បនធ រូ
カンボジア語,533,12,伸ばす,ពនល តូ
カンボジア語,534,13,外す,ចដាោះ
カンボジア語,535,14,曲げる,ពត់
カンボジア語,536,15,出す,បចចេ ញ
カンボジア語,537,16,乾かす,សមង តួ
カンボジア語,538,17,数える,រាប់
カンボジア語,539,18,運ぶ,ចលើក
カンボジア語,540,19,積む,លុទ ក
カンボジア語,541,20,下ろす,ដាក់េុោះ
カンボジア語,542,21,離れる,ឃ្លែ  តចេញ
カンボジア語,544,1,位置,
カンボジア語,545,2,寸法,
カンボジア語,546,3,測定（する）,
カンボジア語,547,4,計測（する）,
カンボジア語,548,5,計測器,
カンボジア語,549,6,温度,
カンボジア語,550,7,高さ,
カンボジア語,551,8,長さ,
カンボジア語,552,9,重さ,
カンボジア語,553,10,厚さ,
カンボジア語,554,11,硬さ,
カンボジア語,555,12,深さ,
カンボジア語,556,13,表面,
カンボジア語,557,14,すきま,
カンボジア語,558,15,中心,
カンボジア語,560,16,値,
カンボジア語,561,17,安定（する）,
カンボジア語,562,18,大きさ,
カンボジア語,563,19,数,
カンボジア語,564,20,誤差,
カンボジア語,565,21,中,
カンボジア語,566,22,反対,
カンボジア語,567,23,周り,
カンボジア語,568,24,尺,
カンボジア語,569,25,青,
カンボジア語,570,26,赤,
カンボジア語,571,27,白,
カンボジア語,572,28,黄色,
カンボジア語,575,1,片づける,
カンボジア語,576,2,捨てる,
カンボジア語,577,3,掃く,
カンボジア語,578,4,持ち上げる,
カンボジア語,579,5,束ねる,
カンボジア語,580,6,足をくじく,
カンボジア語,583,1,一輪車,
カンボジア語,584,2,支柱,
カンボジア語,585,3,ショベル,
カンボジア語,586,4,かけや,
中国語,3,1,技能実習,技能实习
中国語,4,2,技能実習生,技能实习生
中国語,5,3,工場,工厂
中国語,6,4,製造,制造
中国語,7,5,機械,机械
中国語,8,6,安全,安全
中国語,9,7,危険（な）,危险（的）
中国語,10,8,危ない,危险
中国語,11,9,清掃,清扫
中国語,12,10,非常口,安全出口
中国語,13,11,注意,注意
中国語,14,12,火事,火灾
中国語,15,13,事故,事故
中国語,16,14,服装,服装
中国語,17,15,安全装置,安全装置
中国語,21,1,安全カバー,安全罩
中国語,22,2,けが,创伤
中国語,23,3,けがをする,受伤
中国語,24,4,電源,电源
中国語,25,5,電源を切る,关闭电源
中国語,26,6,非常停止ボタン,紧急停止按钮
中国語,27,7,非常停止ボタンを押す,按下紧急停止按钮
中国語,28,8,ルール,规则
中国語,29,9,ルールを守る,遵守规则
中国語,30,10,止める,停止
中国語,31,11,機械を止める,关掉机器
中国語,32,12,やって,做
中国語,33,13,止めて,停止
中国語,34,14,取って,拿
中国語,35,15,だめ（な）,不可以（的）
中国語,39,1,監理団体,监理团体
中国語,40,2,技術移転,技术转移
中国語,41,3,技能実習期間,技能实习期间
中国語,42,4,職種,工种
中国語,43,5,在留資格,在留资格
中国語,44,6,パスポート,护照
中国語,45,7,在留カード,在留卡
中国語,46,8,入管,入管
中国語,47,9,在留期間,在留期间
中国語,48,10,雇用契約,劳动合同
中国語,49,11,給与明細,工资明细
中国語,50,12,給料,工资
中国語,51,13,残業手当,加班费
中国語,52,14,労働時間,劳动时间
中国語,54,1,控除（する）,扣除
中国語,55,2,ボーナス,奖金
中国語,56,3,有休,带薪休假
中国語,57,4,代休,补休
中国語,58,5,労働基準法,劳动基准法
中国語,59,6,労働条件,劳动条件
中国語,60,7,税金,税金
中国語,61,8,所得税,所得税
中国語,62,9,住民税,住民税
中国語,63,10,厚生年金,厚生年金
中国語,64,11,雇用保険,失业保险
中国語,65,12,健康保険,健康保险
中国語,67,13,社会保険,社会保险
中国語,68,14,労災,工伤
中国語,69,15,労災保険,工伤保险
中国語,71,1,遅刻（する）,迟到
中国語,72,2,早退（する）,早退
中国語,73,3,休憩（する）,休息
中国語,74,4,残業（する）,加班
中国語,75,5,定時,准时
中国語,76,6,規則,规则
中国語,77,7,休日,休息日
中国語,78,8,始業時間,上班时间
中国語,79,9,終業時間,下班时间
中国語,80,10,指導員,指导员
中国語,81,11,生活指導員,生活指导员
中国語,82,12,担当者,负责人
中国語,83,13,スイッチ入れるな,不许打开开关
中国語,84,14,スイッチ切るな,不许关闭开关
中国語,85,15,使用禁止,禁止使用
中国語,87,1,5S,5S
中国語,88,2,整理,整理
中国語,89,3,整頓,整顿
中国語,90,4,清掃,清扫
中国語,91,5,清潔,清洁
中国語,92,6,しつけ,素养
中国語,93,7,掃除（する）,扫除
中国語,95,8,片づける,收拾
中国語,96,9,捨てる,扔掉
中国語,97,10,汚い,脏
中国語,98,11,汚れる,弄脏
